1;4
2;4
3;4
4;4
5;4
6;4
7;4
8;4
9;4
10;4
11;4
12;4
15;4
16;4
17;4
18;4
19;4
20;4
21;4
22;4
23;4
24;4
25;4
26;4
1;5
6;5
12;5
15;5
21;5
26;5
1;6
6;6
12;6
15;6
21;6
26;6
1;7
6;7
12;7
15;7
21;7
26;7
1;8
2;8
3;8
4;8
5;8
6;8
7;8
8;8
9;8
10;8
11;8
12;8
13;8
14;8
15;8
16;8
17;8
18;8
19;8
20;8
21;8
22;8
23;8
24;8
25;8
26;8
1;9
6;9
9;9
18;9
21;9
26;9
1;10
6;10
9;10
18;10
21;10
26;10
1;11
2;11
3;11
4;11
5;11
6;11
9;11
10;11
11;11
12;11
15;11
16;11
17;11
18;11
21;11
22;11
23;11
24;11
25;11
26;11
6;12
12;12
15;12
21;12
6;13
12;13
15;13
21;13
6;14
9;14
10;14
11;14
12;14
13;14
14;14
15;14
16;14
17;14
18;14
21;14
6;15
9;15
18;15
21;15
6;16
9;16
18;16
21;16
0;17
1;17
2;17
3;17
4;17
5;17
6;17
7;17
8;17
9;17
18;17
19;17
20;17
21;17
22;17
23;17
24;17
25;17
26;17
27;17
6;18
9;18
18;18
21;18
6;19
9;19
18;19
21;19
6;20
9;20
10;20
11;20
12;20
13;20
14;20
15;20
16;20
17;20
18;20
21;20
6;21
9;21
18;21
21;21
6;22
9;22
18;22
21;22
1;23
2;23
3;23
4;23
5;23
6;23
7;23
8;23
9;23
10;23
11;23
12;23
15;23
16;23
17;23
18;23
19;23
20;23
21;23
22;23
23;23
24;23
25;23
26;23
1;24
6;24
12;24
15;24
21;24
26;24
1;25
6;25
12;25
15;25
21;25
26;25
1;26
2;26
3;26
6;26
7;26
8;26
9;26
10;26
11;26
12;26
13;26
14;26
15;26
16;26
17;26
18;26
19;26
20;26
21;26
24;26
25;26
26;26
3;27
6;27
9;27
18;27
21;27
24;27
3;28
6;28
9;28
18;28
21;28
24;28
1;29
2;29
3;29
4;29
5;29
6;29
9;29
10;29
11;29
12;29
15;29
16;29
17;29
18;29
21;29
22;29
23;29
24;29
25;29
26;29
1;30
12;30
15;30
26;30
1;31
12;31
15;31
26;31
1;32
2;32
3;32
4;32
5;32
6;32
7;32
8;32
9;32
10;32
11;32
12;32
13;32
14;32
15;32
16;32
17;32
18;32
19;32
20;32
21;32
22;32
23;32
24;32
25;32
26;32
